#Left panel: Reconstruction of fhat
#Forecast data
#z	fhat	fhat_error
0.000000	0.424489
0.020202	0.429821
0.040404	0.434810
0.060606	0.439463
0.080808	0.443785
0.101010	0.447783
0.121212	0.451465
0.141414	0.454837
0.161616	0.457909
0.181818	0.460689
0.202020	0.463186
0.222222	0.465410
0.242424	0.467370
0.262626	0.469075
0.282828	0.470536
0.303030	0.471761
0.323232	0.472762
0.343434	0.473547
0.363636	0.474126
0.383838	0.474509
0.404040	0.474705
0.424242	0.474723
0.444444	0.474572
0.464646	0.474260
0.484848	0.473797
0.505051	0.473191
0.525253	0.472449
0.545455	0.471579
0.565657	0.470589
0.585859	0.469486
0.606061	0.468277
0.626263	0.466968
0.646465	0.465567
0.666667	0.464079
0.686869	0.462510
0.707071	0.460865
0.727273	0.459151
0.747475	0.457372
0.767677	0.455533
0.787879	0.453639
0.808081	0.451693
0.828283	0.449702
0.848485	0.447667
0.868687	0.445593
0.888889	0.443485
0.909091	0.441344
0.929293	0.439174
0.949495	0.436979
0.969697	0.434761
0.989899	0.432523
1.010101	0.430267
1.030303	0.427996
1.050505	0.425712
1.070707	0.423417
1.090909	0.421113
1.111111	0.418802
1.131313	0.416487
1.151515	0.414167
1.171717	0.411846
1.191919	0.409524
1.212121	0.407203
1.232323	0.404884
1.252525	0.402568
1.272727	0.400257
1.292929	0.397951
1.313131	0.395651
1.333333	0.393359
1.353535	0.391074
1.373737	0.388799
1.393939	0.386533
1.414141	0.384277
1.434343	0.382032
1.454545	0.379799
1.474747	0.377577
1.494949	0.375368
1.515152	0.373171
1.535354	0.370988
1.555556	0.368818
1.575758	0.366662
1.595960	0.364520
1.616162	0.362393
1.636364	0.360280
1.656566	0.358182
1.676768	0.356099
1.696970	0.354031
1.717172	0.351979
1.737374	0.349942
1.757576	0.347921
1.777778	0.345916
1.797980	0.343926
1.818182	0.341952
1.838384	0.339993
1.858586	0.338051
1.878788	0.336125
1.898990	0.334214
1.919192	0.332319
1.939394	0.330440
1.959596	0.328577
1.979798	0.326730
2.000000	0.324898



#Right panel: Reconstruction of the derivative dlnf(z)/dln(1+z)
Reconstruction at LSST redshifts
#z	dlnf	dlnf_error
0.250000	0.219106	0.204421
0.380000	0.052677	0.105363
0.510000	-0.104194	0.055363
0.650000	-0.257237	0.071800
0.790000	-0.383894	0.076550
0.950000	-0.484665	0.043066
1.130000	-0.583164	0.064505
1.350000	-0.684400	0.076272
1.700000	-0.751237	0.400479
2.100000	-0.552607	1.811627

#Spline reconstruction
#z	dlnf	dlnf_error
0.000000	0.562883	0.508377
0.020202	0.533376	0.474265
0.040404	0.504242	0.442667
0.060606	0.475446	0.413203
0.080808	0.446962	0.385573
0.101010	0.418764	0.359536
0.121212	0.390831	0.334902
0.141414	0.363146	0.311516
0.161616	0.335692	0.289253
0.181818	0.308458	0.268013
0.202020	0.281434	0.247717
0.222222	0.254611	0.228304
0.242424	0.227986	0.209727
0.262626	0.201553	0.191956
0.282828	0.175314	0.174974
0.303030	0.149267	0.158777
0.323232	0.123416	0.143380
0.343434	0.097766	0.128813
0.363636	0.072323	0.115129
0.383838	0.047096	0.102410
0.404040	0.022094	0.090771
0.424242	-0.002671	0.080371
0.444444	-0.027184	0.071418
0.464646	-0.051430	0.064157
0.484848	-0.075391	0.058833
0.505051	-0.099048	0.055608
0.525253	-0.122379	0.054458
0.545455	-0.145361	0.055128
0.565657	-0.167969	0.057190
0.585859	-0.190175	0.060162
0.606061	-0.211949	0.063604
0.626263	-0.233260	0.067154
0.646465	-0.254075	0.070534
0.666667	-0.274356	0.073528
0.686869	-0.294065	0.075969
0.707071	-0.313163	0.077726
0.727273	-0.331606	0.078688
0.747475	-0.349349	0.078765
0.767677	-0.366344	0.077885
0.787879	-0.382542	0.075988
0.808081	-0.397890	0.073039
0.828283	-0.412332	0.069034
0.848485	-0.425813	0.064025
0.868687	-0.438273	0.058165
0.888889	-0.449945	0.052170
0.909091	-0.461545	0.047327
0.929293	-0.473102	0.043893
0.949495	-0.484605	0.042002
0.969697	-0.496045	0.041644
0.989899	-0.507413	0.042636
1.010101	-0.518698	0.044675
1.030303	-0.529890	0.047421
1.050505	-0.540978	0.050570
1.070707	-0.551950	0.053877
1.090909	-0.562794	0.057157
1.111111	-0.573500	0.060271
1.131313	-0.584053	0.063123
1.151515	-0.594441	0.065643
1.171717	-0.604651	0.067788
1.191919	-0.614669	0.069535
1.212121	-0.624480	0.070884
1.232323	-0.634070	0.071861
1.252525	-0.643423	0.072520
1.272727	-0.652524	0.072950
1.292929	-0.661356	0.073285
1.313131	-0.669903	0.073712
1.333333	-0.678148	0.074473
1.353535	-0.686073	0.075869
1.373737	-0.693660	0.078243
1.393939	-0.700890	0.081950
1.414141	-0.707744	0.087319
1.434343	-0.714202	0.094613
1.454545	-0.720245	0.104010
1.474747	-0.725851	0.115609
1.494949	-0.731000	0.129446
1.515152	-0.735669	0.145524
1.535354	-0.739837	0.163833
1.555556	-0.743482	0.184359
1.575758	-0.746580	0.207098
1.595960	-0.749109	0.232054
1.616162	-0.751043	0.259240
1.636364	-0.752360	0.288682
1.656566	-0.753035	0.320410
1.676768	-0.753044	0.354467
1.696970	-0.752360	0.390900
1.717172	-0.750959	0.429765
1.737374	-0.748816	0.471123
1.757576	-0.745904	0.515044
1.777778	-0.742199	0.561607
1.797980	-0.737674	0.610899
1.818182	-0.732303	0.663018
1.838384	-0.726061	0.718077
1.858586	-0.718922	0.776203
1.878788	-0.710861	0.837544
1.898990	-0.701852	0.902269
1.919192	-0.691870	0.970580
1.939394	-0.680891	1.042711
1.959596	-0.668890	1.118944
1.979798	-0.655844	1.199615
2.000000	-0.641731	1.285132

#Standard prediction without a fifth force
#z	dlnf
0.000000	0.641626
0.020202	0.606309
0.040404	0.571039
0.060606	0.536100
0.080808	0.501523
0.101010	0.467339
0.121212	0.433577
0.141414	0.400261
0.161616	0.367416
0.181818	0.335063
0.202020	0.303221
0.222222	0.271907
0.242424	0.241135
0.262626	0.210920
0.282828	0.181270
0.303030	0.152196
0.323232	0.123703
0.343434	0.095798
0.363636	0.068484
0.383838	0.041762
0.404040	0.015635
0.424242	-0.009901
0.444444	-0.034845
0.464646	-0.059201
0.484848	-0.082973
0.505051	-0.106167
0.525253	-0.128789
0.545455	-0.150844
0.565657	-0.172341
0.585859	-0.193287
0.606061	-0.213691
0.626263	-0.233562
0.646465	-0.252909
0.666667	-0.271743
0.686869	-0.290073
0.707071	-0.307909
0.727273	-0.325262
0.747475	-0.342143
0.767677	-0.358562
0.787879	-0.374529
0.808081	-0.390057
0.828283	-0.405154
0.848485	-0.419833
0.868687	-0.434103
0.888889	-0.447976
0.909091	-0.461461
0.929293	-0.474569
0.949495	-0.487311
0.969697	-0.499695
0.989899	-0.511733
1.010101	-0.523433
1.030303	-0.534806
1.050505	-0.545860
1.070707	-0.556605
1.090909	-0.567049
1.111111	-0.577202
1.131313	-0.587072
1.151515	-0.596667
1.171717	-0.605995
1.191919	-0.615064
1.212121	-0.623882
1.232323	-0.632456
1.252525	-0.640794
1.272727	-0.648902
1.292929	-0.656788
1.313131	-0.664458
1.333333	-0.671919
1.353535	-0.679178
1.373737	-0.686239
1.393939	-0.693109
1.414141	-0.699794
1.434343	-0.706300
1.454545	-0.712631
1.474747	-0.718794
1.494949	-0.724793
1.515152	-0.730632
1.535354	-0.736318
1.555556	-0.741855
1.575758	-0.747246
1.595960	-0.752497
1.616162	-0.757611
1.636364	-0.762593
1.656566	-0.767446
1.676768	-0.772175
1.696970	-0.776783
1.717172	-0.781274
1.737374	-0.785651
1.757576	-0.789918
1.777778	-0.794077
1.797980	-0.798132
1.818182	-0.802086
1.838384	-0.805942
1.858586	-0.809702
1.878788	-0.813370
1.898990	-0.816948
1.919192	-0.820439
1.939394	-0.823846
1.959596	-0.827170
1.979798	-0.830414
2.000000	-0.833568
