#Left panel: Reconstruction of fhat.
#Measured data
#z	fhat	errors
0.828283	0.439848	0.025510
0.848485	0.437322	0.026359
0.868687	0.434728	0.027253
0.888889	0.432073	0.028189
0.909091	0.429362	0.029159
0.929293	0.426605	0.030160
0.949495	0.423807	0.031184
0.969697	0.420977	0.032227
0.989899	0.418120	0.033283
1.010101	0.415245	0.034347
1.030303	0.412358	0.035414
1.050505	0.409467	0.036480
1.070707	0.406579	0.037539
1.090909	0.403700	0.038589
1.111111	0.400839	0.039625
1.131313	0.398001	0.040643
1.151515	0.395195	0.041641
1.171717	0.392427	0.042617
1.191919	0.389705	0.043566
1.212121	0.387035	0.044489
1.232323	0.384425	0.045382
1.252525	0.381882	0.046246
1.272727	0.379414	0.047080
1.292929	0.377026	0.047883
1.313131	0.374727	0.048657
1.333333	0.372524	0.049403
1.353535	0.370423	0.050123
1.373737	0.368432	0.050821
1.393939	0.366558	0.051499
1.414141	0.364808	0.052162
1.434343	0.363190	0.052817
1.454545	0.361710	0.053470
1.474747	0.360375	0.054129
1.494949	0.359193	0.054804
1.515152	0.358171	0.055504
1.535354	0.357316	0.056242
1.555556	0.356634	0.057031
1.575758	0.356135	0.057884
1.595960	0.355823	0.058816
1.616162	0.355707	0.059845
1.636364	0.355794	0.060986
1.656566	0.356091	0.062259
1.676768	0.356604	0.063680
1.696970	0.357342	0.065267
1.717172	0.358311	0.067040
1.737374	0.359518	0.069014
1.757576	0.360971	0.071207
1.777778	0.362676	0.073633
1.797980	0.364641	0.076308
1.818182	0.366873	0.079244
1.838384	0.369380	0.082454
1.858586	0.372167	0.085946
1.878788	0.375243	0.089732
1.898990	0.378615	0.093817
1.919192	0.382289	0.098209
1.939394	0.386273	0.102913
1.959596	0.390573	0.107935
1.979798	0.395198	0.113278
2.000000	0.400154	0.118947

#Standard prediction without a fifth force
#z	fhat
0.000000	0.424489
0.020202	0.429821
0.040404	0.434810
0.060606	0.439463
0.080808	0.443785
0.101010	0.447783
0.121212	0.451465
0.141414	0.454837
0.161616	0.457909
0.181818	0.460689
0.202020	0.463186
0.222222	0.465410
0.242424	0.467370
0.262626	0.469075
0.282828	0.470536
0.303030	0.471761
0.323232	0.472762
0.343434	0.473547
0.363636	0.474126
0.383838	0.474509
0.404040	0.474705
0.424242	0.474723
0.444444	0.474572
0.464646	0.474260
0.484848	0.473797
0.505051	0.473191
0.525253	0.472449
0.545455	0.471579
0.565657	0.470589
0.585859	0.469486
0.606061	0.468277
0.626263	0.466968
0.646465	0.465567
0.666667	0.464079
0.686869	0.462510
0.707071	0.460865
0.727273	0.459151
0.747475	0.457372
0.767677	0.455533
0.787879	0.453639
0.808081	0.451693
0.828283	0.449702
0.848485	0.447667
0.868687	0.445593
0.888889	0.443485
0.909091	0.441344
0.929293	0.439174
0.949495	0.436979
0.969697	0.434761
0.989899	0.432523
1.010101	0.430267
1.030303	0.427996
1.050505	0.425712
1.070707	0.423417
1.090909	0.421113
1.111111	0.418802
1.131313	0.416487
1.151515	0.414167
1.171717	0.411846
1.191919	0.409524
1.212121	0.407203
1.232323	0.404884
1.252525	0.402568
1.272727	0.400257
1.292929	0.397951
1.313131	0.395651
1.333333	0.393359
1.353535	0.391074
1.373737	0.388799
1.393939	0.386533
1.414141	0.384277
1.434343	0.382032
1.454545	0.379799
1.474747	0.377577
1.494949	0.375368
1.515152	0.373171
1.535354	0.370988
1.555556	0.368818
1.575758	0.366662
1.595960	0.364520
1.616162	0.362393
1.636364	0.360280
1.656566	0.358182
1.676768	0.356099
1.696970	0.354031
1.717172	0.351979
1.737374	0.349942
1.757576	0.347921
1.777778	0.345916
1.797980	0.343926
1.818182	0.341952
1.838384	0.339993
1.858586	0.338051
1.878788	0.336125
1.898990	0.334214
1.919192	0.332319
1.939394	0.330440
1.959596	0.328577
1.979798	0.326730
2.000000	0.324898



#Right panel: Reconstruction of the derivative dlnf(z)/dln(1+z)
Reconstruction at MagLim redshifts
#z	dlnf	dlnf_error
0.295000	0.282486	0.167997
0.467000	0.002899	0.162638
0.626000	-0.238922	0.233503
0.771000	-0.439665	0.311071

#Spline reconstruction
#z	dlnf	dlnf_error
0.000000	0.827847	0.418780
0.020202	0.785252	0.395104
0.040404	0.743770	0.372704
0.060606	0.703284	0.351440
0.080808	0.663688	0.331209
0.101010	0.624893	0.311940
0.121212	0.586819	0.293588
0.141414	0.549394	0.276133
0.161616	0.512556	0.259579
0.181818	0.476250	0.243949
0.202020	0.440428	0.229289
0.222222	0.405046	0.215668
0.242424	0.370067	0.203174
0.262626	0.335458	0.191914
0.282828	0.301191	0.182011
0.303030	0.267242	0.173596
0.323232	0.233589	0.166798
0.343434	0.200215	0.161726
0.363636	0.167107	0.158455
0.383838	0.134253	0.157007
0.404040	0.101645	0.157346
0.424242	0.069278	0.159377
0.444444	0.037149	0.162953
0.464646	0.005259	0.167895
0.484848	-0.026390	0.174009
0.505051	-0.057792	0.181099
0.525253	-0.088940	0.188981
0.545455	-0.119823	0.197486
0.565657	-0.150428	0.206467
0.585859	-0.180739	0.215793
0.606061	-0.210738	0.225352
0.626263	-0.240404	0.235049
0.646465	-0.269713	0.244802
0.666667	-0.298638	0.254538
0.686869	-0.327151	0.264197
0.707071	-0.355218	0.273725
0.727273	-0.382804	0.283075
0.747475	-0.409870	0.292207
0.767677	-0.436375	0.301084
0.787879	-0.462273	0.309675
0.808081	-0.487515	0.317955
0.828283	-0.512051	0.325900
0.848485	-0.535823	0.333491
0.868687	-0.558772	0.340717
0.888889	-0.580837	0.347567
0.909091	-0.601949	0.354039
0.929293	-0.622038	0.360137
0.949495	-0.641029	0.365872
0.969697	-0.658844	0.371263
0.989899	-0.675401	0.376339
1.010101	-0.690613	0.381144
1.030303	-0.704389	0.385731
1.050505	-0.716636	0.390171
1.070707	-0.727257	0.394554
1.090909	-0.736149	0.398989
1.111111	-0.743209	0.403605
1.131313	-0.748328	0.408560
1.151515	-0.751397	0.414033
1.171717	-0.752301	0.420232
1.191919	-0.750927	0.427387
1.212121	-0.747156	0.435754
1.232323	-0.740872	0.445605
1.252525	-0.731956	0.457225
1.272727	-0.720290	0.470905
1.292929	-0.705756	0.486930
1.313131	-0.688238	0.505573
1.333333	-0.667625	0.527087
1.353535	-0.643805	0.551694
1.373737	-0.616675	0.579585
1.393939	-0.586134	0.610915
1.414141	-0.552090	0.645801
1.434343	-0.514459	0.684328
1.454545	-0.473163	0.726552
1.474747	-0.428138	0.772499
1.494949	-0.379330	0.822176
1.515152	-0.326698	0.875572
1.535354	-0.270213	0.932663
1.555556	-0.209864	0.993417
1.575758	-0.145652	1.057799
1.595960	-0.077600	1.125773
1.616162	-0.005743	1.197309
1.636364	0.069861	1.272387
1.656566	0.149139	1.351007
1.676768	0.231996	1.433197
1.696970	0.318320	1.519038
1.717172	0.407979	1.608714
1.737374	0.500823	1.702689
1.757576	0.596683	1.802520
1.777778	0.695374	1.918043
1.797980	0.796694	2.619866
1.818182	0.900427	2.182387
1.838384	1.006342	2.246216
1.858586	1.114198	2.360905
1.878788	1.223742	2.489145
1.898990	1.334714	2.629825
1.919192	1.446849	2.787495
1.939394	1.559876	2.976416
1.959596	1.673524	3.272665
1.979798	1.787520	4.117466
2.000000	1.901594	7.948545

#Standard prediction without a fifth force
#z	dlnf
0.000000	0.621696
0.020202	0.606309
0.040404	0.571039
0.060606	0.536100
0.080808	0.501523
0.101010	0.467339
0.121212	0.433577
0.141414	0.400261
0.161616	0.367416
0.181818	0.335063
0.202020	0.303221
0.222222	0.271907
0.242424	0.241135
0.262626	0.210920
0.282828	0.181270
0.303030	0.152196
0.323232	0.123703
0.343434	0.095798
0.363636	0.068484
0.383838	0.041762
0.404040	0.015635
0.424242	-0.009901
0.444444	-0.034845
0.464646	-0.059201
0.484848	-0.082973
0.505051	-0.106167
0.525253	-0.128789
0.545455	-0.150844
0.565657	-0.172341
0.585859	-0.193287
0.606061	-0.213691
0.626263	-0.233562
0.646465	-0.252909
0.666667	-0.271743
0.686869	-0.290073
0.707071	-0.307909
0.727273	-0.325262
0.747475	-0.342143
0.767677	-0.358562
0.787879	-0.374529
0.808081	-0.390057
0.828283	-0.405154
0.848485	-0.419833
0.868687	-0.434103
0.888889	-0.447976
0.909091	-0.461461
0.929293	-0.474569
0.949495	-0.487311
0.969697	-0.499695
0.989899	-0.511733
1.010101	-0.523433
1.030303	-0.534806
1.050505	-0.545860
1.070707	-0.556605
1.090909	-0.567049
1.111111	-0.577202
1.131313	-0.587072
1.151515	-0.596667
1.171717	-0.605995
1.191919	-0.615064
1.212121	-0.623882
1.232323	-0.632456
1.252525	-0.640794
1.272727	-0.648902
1.292929	-0.656788
1.313131	-0.664458
1.333333	-0.671919
1.353535	-0.679178
1.373737	-0.686239
1.393939	-0.693109
1.414141	-0.699794
1.434343	-0.706300
1.454545	-0.712631
1.474747	-0.718794
1.494949	-0.724793
1.515152	-0.730632
1.535354	-0.736318
1.555556	-0.741855
1.575758	-0.747246
1.595960	-0.752497
1.616162	-0.757611
1.636364	-0.762593
1.656566	-0.767446
1.676768	-0.772175
1.696970	-0.776783
1.717172	-0.781274
1.737374	-0.785651
1.757576	-0.789918
1.777778	-0.794077
1.797980	-0.798132
1.818182	-0.802086
1.838384	-0.805942
1.858586	-0.809702
1.878788	-0.813370
1.898990	-0.816948
1.919192	-0.820439
1.939394	-0.823846
1.959596	-0.827170
1.979798	-0.830414
2.000000	-0.837162



#Right panel: Reconstruction of the derivative dlnf(z)/dln(1+z)
Reconstruction at MagLim redshifts
#z	dlnf	dlnf_error
0.295000	0.282486	0.167997
0.467000	0.002899	0.162638
0.626000	-0.238922	0.233503
0.771000	-0.439665	0.311071

#Spline reconstruction
#z	dlnf	dlnf_error
0.000000	0.827847	0.418780
0.020202	0.785252	0.395104
0.040404	0.743770	0.372704
0.060606	0.703284	0.351440
0.080808	0.663688	0.331209
0.101010	0.624893	0.311940
0.121212	0.586819	0.293588
0.141414	0.549394	0.276133
0.161616	0.512556	0.259579
0.181818	0.476250	0.243949
0.202020	0.440428	0.229289
0.222222	0.405046	0.215668
0.242424	0.370067	0.203174
0.262626	0.335458	0.191914
0.282828	0.301191	0.182011
0.303030	0.267242	0.173596
0.323232	0.233589	0.166798
0.343434	0.200215	0.161726
0.363636	0.167107	0.158455
0.383838	0.134253	0.157007
0.404040	0.101645	0.157346
0.424242	0.069278	0.159377
0.444444	0.037149	0.162953
0.464646	0.005259	0.167895
0.484848	-0.026390	0.174009
0.505051	-0.057792	0.181099
0.525253	-0.088940	0.188981
0.545455	-0.119823	0.197486
0.565657	-0.150428	0.206467
0.585859	-0.180739	0.215793
0.606061	-0.210738	0.225352
0.626263	-0.240404	0.235049
0.646465	-0.269713	0.244802
0.666667	-0.298638	0.254538
0.686869	-0.327151	0.264197
0.707071	-0.355218	0.273725
0.727273	-0.382804	0.283075
0.747475	-0.409870	0.292207
0.767677	-0.436375	0.301084
0.787879	-0.462273	0.309675
0.808081	-0.487515	0.317955
0.828283	-0.512051	0.325900
0.848485	-0.535823	0.333491
0.868687	-0.558772	0.340717
0.888889	-0.580837	0.347567
0.909091	-0.601949	0.354039
0.929293	-0.622038	0.360137
0.949495	-0.641029	0.365872
0.969697	-0.658844	0.371263
0.989899	-0.675401	0.376339
1.010101	-0.690613	0.381144
1.030303	-0.704389	0.385731
1.050505	-0.716636	0.390171
1.070707	-0.727257	0.394554
1.090909	-0.736149	0.398989
1.111111	-0.743209	0.403605
1.131313	-0.748328	0.408560
1.151515	-0.751397	0.414033
1.171717	-0.752301	0.420232
1.191919	-0.750927	0.427387
1.212121	-0.747156	0.435754
1.232323	-0.740872	0.445605
1.252525	-0.731956	0.457225
1.272727	-0.720290	0.470905
1.292929	-0.705756	0.486930
1.313131	-0.688238	0.505573
1.333333	-0.667625	0.527087
1.353535	-0.643805	0.551694
1.373737	-0.616675	0.579585
1.393939	-0.586134	0.610915
1.414141	-0.552090	0.645801
1.434343	-0.514459	0.684328
1.454545	-0.473163	0.726552
1.474747	-0.428138	0.772499
1.494949	-0.379330	0.822176
1.515152	-0.326698	0.875572
1.535354	-0.270213	0.932663
1.555556	-0.209864	0.993417
1.575758	-0.145652	1.057799
1.595960	-0.077600	1.125773
1.616162	-0.005743	1.197309
1.636364	0.069861	1.272387
1.656566	0.149139	1.351007
1.676768	0.231996	1.433197
1.696970	0.318320	1.519038
1.717172	0.407979	1.608714
1.737374	0.500823	1.702689
1.757576	0.596683	1.802520
1.777778	0.695374	1.918043
1.797980	0.796694	2.619866
1.818182	0.900427	2.182387
1.838384	1.006342	2.246216
1.858586	1.114198	2.360905
1.878788	1.223742	2.489145
1.898990	1.334714	2.629825
1.919192	1.446849	2.787495
1.939394	1.559876	2.976416
1.959596	1.673524	3.272665
1.979798	1.787520	4.117466
2.000000	1.901594	7.948545

#Standard prediction without a fifth force
#z	dlnf
0.000000	0.621696
0.020202	0.606309
0.040404	0.571039
0.060606	0.536100
0.080808	0.501523
0.101010	0.467339
0.121212	0.433577
0.141414	0.400261
0.161616	0.367416
0.181818	0.335063
0.202020	0.303221
0.222222	0.271907
0.242424	0.241135
0.262626	0.210920
0.282828	0.181270
0.303030	0.152196
0.323232	0.123703
0.343434	0.095798
0.363636	0.068484
0.383838	0.041762
0.404040	0.015635
0.424242	-0.009901
0.444444	-0.034845
0.464646	-0.059201
0.484848	-0.082973
0.505051	-0.106167
0.525253	-0.128789
0.545455	-0.150844
0.565657	-0.172341
0.585859	-0.193287
0.606061	-0.213691
0.626263	-0.233562
0.646465	-0.252909
0.666667	-0.271743
0.686869	-0.290073
0.707071	-0.307909
0.727273	-0.325262
0.747475	-0.342143
0.767677	-0.358562
0.787879	-0.374529
0.808081	-0.390057
0.828283	-0.405154
0.848485	-0.419833
0.868687	-0.434103
0.888889	-0.447976
0.909091	-0.461461
0.929293	-0.474569
0.949495	-0.487311
0.969697	-0.499695
0.989899	-0.511733
1.010101	-0.523433
1.030303	-0.534806
1.050505	-0.545860
1.070707	-0.556605
1.090909	-0.567049
1.111111	-0.577202
1.131313	-0.587072
1.151515	-0.596667
1.171717	-0.605995
1.191919	-0.615064
1.212121	-0.623882
1.232323	-0.632456
1.252525	-0.640794
1.272727	-0.648902
1.292929	-0.656788
1.313131	-0.664458
1.333333	-0.671919
1.353535	-0.679178
1.373737	-0.686239
1.393939	-0.693109
1.414141	-0.699794
1.434343	-0.706300
1.454545	-0.712631
1.474747	-0.718794
1.494949	-0.724793
1.515152	-0.730632
1.535354	-0.736318
1.555556	-0.741855
1.575758	-0.747246
1.595960	-0.752497
1.616162	-0.757611
1.636364	-0.762593
1.656566	-0.767446
1.676768	-0.772175
1.696970	-0.776783
1.717172	-0.781274
1.737374	-0.785651
1.757576	-0.789918
1.777778	-0.794077
1.797980	-0.798132
1.818182	-0.802086
1.838384	-0.805942
1.858586	-0.809702
1.878788	-0.813370
1.898990	-0.816948
1.919192	-0.820439
1.939394	-0.823846
1.959596	-0.827170
1.979798	-0.830414
2.000000	-0.837162
